prompt,model_of_original_prompt,order,iteration,prompt_length,step1_story_prompt_with_prefix,full_prompt_length
Someone finds a diary from the future with their name on it.,Claude,29,19,60,Please write me a story in exactly 5 sentences: Someone finds a diary from the future with their name on it.,108
A bus driver whose route occasionally takes them to destinations not on any map.,Claude,37,15,80,Please write me a story in exactly 5 sentences: A bus driver whose route occasionally takes them to destinations not on any map.,128
A town where shadows don't always match the people who cast them.,Claude,49,2,65,Please write me a story in exactly 5 sentences: A town where shadows don't always match the people who cast them.,113
A person finds a map that leads to different dimensions.,Claude,43,19,56,Please write me a story in exactly 5 sentences: A person finds a map that leads to different dimensions.,104
An old camera that photographs people's deepest desires.,Claude,17,4,56,Please write me a story in exactly 5 sentences: An old camera that photographs people's deepest desires.,104
A therapist who can literally enter their patients' memories to help heal them.,Claude,44,17,79,Please write me a story in exactly 5 sentences: A therapist who can literally enter their patients' memories to help heal them.,127
"The last day of Earth before the sun expands, told from the perspective of a small café owner.",Claude,27,7,94,"Please write me a story in exactly 5 sentences: The last day of Earth before the sun expands, told from the perspective of a small café owner.",142
Someone receives mysterious text messages from an unknown number that turn out to be from themselves.,Claude,38,8,101,Please write me a story in exactly 5 sentences: Someone receives mysterious text messages from an unknown number that turn out to be from themselves.,149
The last person on Earth hears a knock at the door.,Claude,6,8,51,Please write me a story in exactly 5 sentences: The last person on Earth hears a knock at the door.,99
A child discovers they can communicate with a specific constellation in the night sky.,Claude,47,6,86,Please write me a story in exactly 5 sentences: A child discovers they can communicate with a specific constellation in the night sky.,134
A librarian discovers a book that accurately predicts the future.,Claude,9,6,65,Please write me a story in exactly 5 sentences: A librarian discovers a book that accurately predicts the future.,113
The last day of school before summer vacation takes an unexpected turn when time begins to loop.,Claude,30,18,96,Please write me a story in exactly 5 sentences: The last day of school before summer vacation takes an unexpected turn when time begins to loop.,144
"A character who wakes up each day with a different superpower, never the same one twice.",Claude,26,1,88,"Please write me a story in exactly 5 sentences: A character who wakes up each day with a different superpower, never the same one twice.",136
A person finds a door in their apartment that wasn't there yesterday.,Claude,11,2,69,Please write me a story in exactly 5 sentences: A person finds a door in their apartment that wasn't there yesterday.,117
A person discovers they've been living in a simulation when they find a glitch.,Claude,12,16,79,Please write me a story in exactly 5 sentences: A person discovers they've been living in a simulation when they find a glitch.,127
A lighthouse keeper who discovers messages from another dimension in the light patterns.,Claude,41,12,88,Please write me a story in exactly 5 sentences: A lighthouse keeper who discovers messages from another dimension in the light patterns.,136
A person inherits a house with a room that changes its interior every day.,Claude,17,10,74,Please write me a story in exactly 5 sentences: A person inherits a house with a room that changes its interior every day.,122
A person discovers they can hear the thoughts of anyone whose name they write down.,Claude,39,10,83,Please write me a story in exactly 5 sentences: A person discovers they can hear the thoughts of anyone whose name they write down.,131
A plant in someone's apartment starts communicating through subtle movements.,Claude,2,1,77,Please write me a story in exactly 5 sentences: A plant in someone's apartment starts communicating through subtle movements.,125
A composer who discovers that their music can heal physical wounds.,Claude,26,4,67,Please write me a story in exactly 5 sentences: A composer who discovers that their music can heal physical wounds.,115
A person finds a tree in the forest that has their name carved into it - but they never carved it.,Claude,40,8,98,Please write me a story in exactly 5 sentences: A person finds a tree in the forest that has their name carved into it - but they never carved it.,146
A door-to-door salesperson sells items that people need the day before they know they need them.,Claude,21,9,96,Please write me a story in exactly 5 sentences: A door-to-door salesperson sells items that people need the day before they know they need them.,144
Someone starts receiving letters from their future self.,Claude,23,8,56,Please write me a story in exactly 5 sentences: Someone starts receiving letters from their future self.,104
A person inherits a house where the laws of physics don't quite work right.,Claude,45,14,75,Please write me a story in exactly 5 sentences: A person inherits a house where the laws of physics don't quite work right.,123
A librarian finds a book that seems to predict future events.,Claude,3,20,61,Please write me a story in exactly 5 sentences: A librarian finds a book that seems to predict future events.,109
Someone's new smart home device develops an unusual personality.,Claude,23,13,64,Please write me a story in exactly 5 sentences: Someone's new smart home device develops an unusual personality.,112
A person inherits a map that shows hidden doorways to other worlds.,Claude,50,11,67,Please write me a story in exactly 5 sentences: A person inherits a map that shows hidden doorways to other worlds.,115
"A time traveler keeps trying to fix one small event, but makes things worse with each attempt.",Claude,5,9,94,"Please write me a story in exactly 5 sentences: A time traveler keeps trying to fix one small event, but makes things worse with each attempt.",142
An elderly woman finds a letter she wrote to herself fifty years ago.,Claude,2,19,69,Please write me a story in exactly 5 sentences: An elderly woman finds a letter she wrote to herself fifty years ago.,117
A person finds that their shadow has a mind of its own.,Claude,26,15,55,Please write me a story in exactly 5 sentences: A person finds that their shadow has a mind of its own.,103
An elevator that occasionally stops at a floor that doesn't exist.,Claude,41,13,66,Please write me a story in exactly 5 sentences: An elevator that occasionally stops at a floor that doesn't exist.,114
A diver discovers an underwater city inhabited by people who can breathe water.,Claude,31,15,79,Please write me a story in exactly 5 sentences: A diver discovers an underwater city inhabited by people who can breathe water.,127
A character who finds a door that leads to a different year each time it's opened.,Claude,46,16,82,Please write me a story in exactly 5 sentences: A character who finds a door that leads to a different year each time it's opened.,130
A librarian discovers a book that seems to write itself based on the reader's life.,Claude,7,16,83,Please write me a story in exactly 5 sentences: A librarian discovers a book that seems to write itself based on the reader's life.,131
An astronaut returns from space with an invisible friend.,Claude,7,4,57,Please write me a story in exactly 5 sentences: An astronaut returns from space with an invisible friend.,105
A vending machine that dispenses seemingly random objects that turn out to be exactly what people need,Claude,34,3,102,Please write me a story in exactly 5 sentences: A vending machine that dispenses seemingly random objects that turn out to be exactly what people need,150
A forgotten time capsule reveals a startling secret.,Claude,7,20,52,Please write me a story in exactly 5 sentences: A forgotten time capsule reveals a startling secret.,100
"A person who receives a mysterious package containing their childhood blanket, decades after losing it.",Claude,25,4,103,"Please write me a story in exactly 5 sentences: A person who receives a mysterious package containing their childhood blanket, decades after losing it.",151
A photographer captures something unexplainable in the background of a landscape shot.,Claude,31,19,86,Please write me a story in exactly 5 sentences: A photographer captures something unexplainable in the background of a landscape shot.,134
A world where people's dreams physically manifest while they sleep.,Claude,29,7,67,Please write me a story in exactly 5 sentences: A world where people's dreams physically manifest while they sleep.,115
A forgotten subway station that only appears every 50 years.,Claude,23,12,60,Please write me a story in exactly 5 sentences: A forgotten subway station that only appears every 50 years.,108
"A bus stop where people occasionally disappear, only to return years later unchanged",Claude,20,3,84,"Please write me a story in exactly 5 sentences: A bus stop where people occasionally disappear, only to return years later unchanged",132
A person who finds that every book they open contains subtle messages meant just for them.,Claude,26,18,90,Please write me a story in exactly 5 sentences: A person who finds that every book they open contains subtle messages meant just for them.,138
A small town where everyone shares the same recurring dream.,Claude,44,5,60,Please write me a story in exactly 5 sentences: A small town where everyone shares the same recurring dream.,108
A person who can taste the emotions of whoever prepared their food.,Claude,20,12,67,Please write me a story in exactly 5 sentences: A person who can taste the emotions of whoever prepared their food.,115
A world where everyone's deepest secret becomes temporarily visible above their head once a year.,Claude,33,1,97,Please write me a story in exactly 5 sentences: A world where everyone's deepest secret becomes temporarily visible above their head once a year.,145
"The ocean suddenly recedes globally, revealing ancient civilizations.",Claude,15,16,69,"Please write me a story in exactly 5 sentences: The ocean suddenly recedes globally, revealing ancient civilizations.",117
A person who can hear the thoughts of objects they touch.,Claude,35,17,57,Please write me a story in exactly 5 sentences: A person who can hear the thoughts of objects they touch.,105
A scientist discovers that déjà vu is actually glimpses of parallel universes.,Claude,33,2,78,Please write me a story in exactly 5 sentences: A scientist discovers that déjà vu is actually glimpses of parallel universes.,126
A character who ages backwards meets someone aging forwards.,Claude,29,16,60,Please write me a story in exactly 5 sentences: A character who ages backwards meets someone aging forwards.,108
A person receives packages containing objects they lost years ago.,Claude,47,15,66,Please write me a story in exactly 5 sentences: A person receives packages containing objects they lost years ago.,114
A person who can see everyone's countdown clock to a significant life event.,Claude,16,5,76,Please write me a story in exactly 5 sentences: A person who can see everyone's countdown clock to a significant life event.,124
"A person who can see one minute into the future, but only when danger is present",Claude,12,3,80,"Please write me a story in exactly 5 sentences: A person who can see one minute into the future, but only when danger is present",128
A gardener discovers plants that grow according to people's emotions.,Claude,26,16,69,Please write me a story in exactly 5 sentences: A gardener discovers plants that grow according to people's emotions.,117
A person discovers they can communicate with plants and learns a disturbing secret.,Claude,37,19,83,Please write me a story in exactly 5 sentences: A person discovers they can communicate with plants and learns a disturbing secret.,131
Someone who realizes their childhood drawings are coming true decades later.,Claude,46,1,76,Please write me a story in exactly 5 sentences: Someone who realizes their childhood drawings are coming true decades later.,124
A character who receives a mysterious inheritance from someone they've never heard of.,Claude,45,7,86,Please write me a story in exactly 5 sentences: A character who receives a mysterious inheritance from someone they've never heard of.,134
A cookbook where the recipes create emotions instead of meals.,Claude,19,4,62,Please write me a story in exactly 5 sentences: A cookbook where the recipes create emotions instead of meals.,110
A child discovers they can talk to plants.,Claude,2,12,42,Please write me a story in exactly 5 sentences: A child discovers they can talk to plants.,90
A silent film actor adjusting to the era of talkies.,Claude,21,5,52,Please write me a story in exactly 5 sentences: A silent film actor adjusting to the era of talkies.,100
A person who can taste the emotions of whoever prepared their food.,Claude,36,15,67,Please write me a story in exactly 5 sentences: A person who can taste the emotions of whoever prepared their food.,115
A camera that photographs people as they will look in exactly one year,Claude,21,3,70,Please write me a story in exactly 5 sentences: A camera that photographs people as they will look in exactly one year,118
A chef's signature dish starts causing strange dreams for customers.,Claude,5,12,68,Please write me a story in exactly 5 sentences: A chef's signature dish starts causing strange dreams for customers.,116
A person discovers they can enter the worlds of paintings but risks getting trapped inside.,Claude,20,2,91,Please write me a story in exactly 5 sentences: A person discovers they can enter the worlds of paintings but risks getting trapped inside.,139
Someone begins receiving letters from their future self.,Claude,16,6,56,Please write me a story in exactly 5 sentences: Someone begins receiving letters from their future self.,104
"The local lake drains overnight, revealing something unexpected at the bottom.",Claude,22,13,78,"Please write me a story in exactly 5 sentences: The local lake drains overnight, revealing something unexpected at the bottom.",126
A person discovers they can hear the thoughts of plants.,Claude,18,11,56,Please write me a story in exactly 5 sentences: A person discovers they can hear the thoughts of plants.,104
A character who can step into photographs and experience the moment they were taken.,Claude,22,7,84,Please write me a story in exactly 5 sentences: A character who can step into photographs and experience the moment they were taken.,132
Someone who can smell lies meets a person with no scent.,Claude,44,8,56,Please write me a story in exactly 5 sentences: Someone who can smell lies meets a person with no scent.,104
An antique mirror shows reflections of people who aren't there.,Claude,19,13,63,Please write me a story in exactly 5 sentences: An antique mirror shows reflections of people who aren't there.,111
A small town's residents all have the same recurring dream on the same night every year.,Claude,17,9,88,Please write me a story in exactly 5 sentences: A small town's residents all have the same recurring dream on the same night every year.,136
A world where people's life spans are determined by how many words they speak.,Claude,46,18,78,Please write me a story in exactly 5 sentences: A world where people's life spans are determined by how many words they speak.,126
A person discovers they can see people's life spans floating above their heads.,Claude,47,19,79,Please write me a story in exactly 5 sentences: A person discovers they can see people's life spans floating above their heads.,127
"A dog walker discovers their client's pet can speak, but only to them.",Claude,11,19,70,"Please write me a story in exactly 5 sentences: A dog walker discovers their client's pet can speak, but only to them.",118
A new pet adopts strange behaviors at night.,Claude,28,6,44,Please write me a story in exactly 5 sentences: A new pet adopts strange behaviors at night.,92
"A person discovers they can rewind time by 10 seconds, but only three times a day.",Claude,22,9,82,"Please write me a story in exactly 5 sentences: A person discovers they can rewind time by 10 seconds, but only three times a day.",130
A person who can see how choices branch into different futures.,Claude,27,16,63,Please write me a story in exactly 5 sentences: A person who can see how choices branch into different futures.,111
A chef's new recipe has an unintended magical effect on customers.,Claude,7,14,66,Please write me a story in exactly 5 sentences: A chef's new recipe has an unintended magical effect on customers.,114
A person who wakes up to find everyone else frozen in time.,Claude,43,4,59,Please write me a story in exactly 5 sentences: A person who wakes up to find everyone else frozen in time.,107
A small town where everyone's dreams connect during the night.,Claude,13,4,62,Please write me a story in exactly 5 sentences: A small town where everyone's dreams connect during the night.,110
"Someone who begins finding notes around their house written in their own handwriting, but they don't remember writing them.",Claude,36,12,123,"Please write me a story in exactly 5 sentences: Someone who begins finding notes around their house written in their own handwriting, but they don't remember writing them.",171
An elderly person begins receiving letters from their younger self.,Claude,3,14,67,Please write me a story in exactly 5 sentences: An elderly person begins receiving letters from their younger self.,115
A photographer notices a strange figure appearing in the background of all their photos.,Claude,23,9,88,Please write me a story in exactly 5 sentences: A photographer notices a strange figure appearing in the background of all their photos.,136
A character who discovers their life is being narrated by an unseen voice.,Claude,46,5,74,Please write me a story in exactly 5 sentences: A character who discovers their life is being narrated by an unseen voice.,122
A person finds a door in their house that wasn't there yesterday.,Claude,41,14,65,Please write me a story in exactly 5 sentences: A person finds a door in their house that wasn't there yesterday.,113
A character who receives mysterious text messages from their future self.,Claude,28,5,73,Please write me a story in exactly 5 sentences: A character who receives mysterious text messages from their future self.,121
A musician hears a melody in their dreams that changes reality when played.,Claude,38,11,75,Please write me a story in exactly 5 sentences: A musician hears a melody in their dreams that changes reality when played.,123
A therapist whose patients all describe the same recurring dream.,Claude,33,15,65,Please write me a story in exactly 5 sentences: A therapist whose patients all describe the same recurring dream.,113
Someone who discovers they can step into photographs.,Claude,42,5,53,Please write me a story in exactly 5 sentences: Someone who discovers they can step into photographs.,101
"A time traveler keeps returning to the same day to prevent a disaster, but something different goes wrong each time.",Claude,11,17,116,"Please write me a story in exactly 5 sentences: A time traveler keeps returning to the same day to prevent a disaster, but something different goes wrong each time.",164
A small coastal town where the tide brings in objects from other dimensions.,Claude,32,7,76,Please write me a story in exactly 5 sentences: A small coastal town where the tide brings in objects from other dimensions.,124
An old lighthouse keeper discovers a message in a bottle from the future.,Claude,2,4,73,Please write me a story in exactly 5 sentences: An old lighthouse keeper discovers a message in a bottle from the future.,121
A lost hiker finds a cabin in the woods occupied by someone who disappeared 50 years ago.,Claude,5,15,89,Please write me a story in exactly 5 sentences: A lost hiker finds a cabin in the woods occupied by someone who disappeared 50 years ago.,137
A child discovers a hidden door in their bedroom that wasn't there yesterday.,Claude,1,19,77,Please write me a story in exactly 5 sentences: A child discovers a hidden door in their bedroom that wasn't there yesterday.,125
A woman's shadow starts acting independently of her movements.,Claude,14,11,62,Please write me a story in exactly 5 sentences: A woman's shadow starts acting independently of her movements.,110
A photographer notices that people who appear in their photos disappear the next day.,Claude,19,18,85,Please write me a story in exactly 5 sentences: A photographer notices that people who appear in their photos disappear the next day.,133
A baker's sourdough starter becomes sentient and communicates through bubbles.,Claude,33,14,78,Please write me a story in exactly 5 sentences: A baker's sourdough starter becomes sentient and communicates through bubbles.,126
Someone starts receiving text messages from their deceased friend.,Claude,41,6,66,Please write me a story in exactly 5 sentences: Someone starts receiving text messages from their deceased friend.,114
A world where silence has become the most valuable commodity.,Claude,50,1,61,Please write me a story in exactly 5 sentences: A world where silence has become the most valuable commodity.,109
A detective investigates a crime that seems to have been committed by their future self.,Claude,12,9,88,Please write me a story in exactly 5 sentences: A detective investigates a crime that seems to have been committed by their future self.,136
A forgotten childhood imaginary friend returns when an adult needs them most.,Claude,18,1,77,Please write me a story in exactly 5 sentences: A forgotten childhood imaginary friend returns when an adult needs them most.,125
A small town where everyone's dreams are visible as colored clouds above their heads while they sleep.,Claude,42,9,102,Please write me a story in exactly 5 sentences: A small town where everyone's dreams are visible as colored clouds above their heads while they sleep.,150
A world where shadows occasionally come to life and reveal secrets.,Claude,8,1,67,Please write me a story in exactly 5 sentences: A world where shadows occasionally come to life and reveal secrets.,115
A person starts receiving emails from an address that doesn't exist.,Claude,44,11,68,Please write me a story in exactly 5 sentences: A person starts receiving emails from an address that doesn't exist.,116
A barista notices the same customer comes in every day but never ages.,Claude,5,11,70,Please write me a story in exactly 5 sentences: A barista notices the same customer comes in every day but never ages.,118
A chef discovers that the food they cook can alter people's emotions.,Claude,2,8,69,Please write me a story in exactly 5 sentences: A chef discovers that the food they cook can alter people's emotions.,117
A gardener discovers their plants are communicating with each other in a language they can understand.,Claude,7,9,102,Please write me a story in exactly 5 sentences: A gardener discovers their plants are communicating with each other in a language they can understand.,150
A teacher notices one of their students hasn't aged in three years.,Claude,10,19,67,Please write me a story in exactly 5 sentences: A teacher notices one of their students hasn't aged in three years.,115
Someone discovers a restaurant that serves memories instead of food.,Claude,44,16,68,Please write me a story in exactly 5 sentences: Someone discovers a restaurant that serves memories instead of food.,116
Someone who discovers they're actually a character in a book trying to escape their narrative.,Claude,39,16,94,Please write me a story in exactly 5 sentences: Someone who discovers they're actually a character in a book trying to escape their narrative.,142
A cartographer discovers a place that exists between two well-mapped locations.,Claude,45,15,79,Please write me a story in exactly 5 sentences: A cartographer discovers a place that exists between two well-mapped locations.,127
A forgotten childhood toy comes to life when no one is watching.,Claude,2,7,64,Please write me a story in exactly 5 sentences: A forgotten childhood toy comes to life when no one is watching.,112
"The last plant on Earth is dying, and only one person can save it.",Claude,9,18,66,"Please write me a story in exactly 5 sentences: The last plant on Earth is dying, and only one person can save it.",114
A person discovers that the stray cat they've been feeding is actually a guardian of the underworld.,Claude,41,17,100,Please write me a story in exactly 5 sentences: A person discovers that the stray cat they've been feeding is actually a guardian of the underworld.,148
A dog who can understand human speech but cannot speak decides to help their owner find love.,Claude,6,18,93,Please write me a story in exactly 5 sentences: A dog who can understand human speech but cannot speak decides to help their owner find love.,141
A child who can taste the emotions of whoever prepared their food.,Claude,21,4,66,Please write me a story in exactly 5 sentences: A child who can taste the emotions of whoever prepared their food.,114
Someone discovers they can taste the emotions of the person who prepared their food.,Claude,35,6,84,Please write me a story in exactly 5 sentences: Someone discovers they can taste the emotions of the person who prepared their food.,132
A person finds an old Polaroid camera that shows photos of 24 hours in the future.,Claude,37,2,82,Please write me a story in exactly 5 sentences: A person finds an old Polaroid camera that shows photos of 24 hours in the future.,130
A painting changes slightly every time you look away.,Deepseek,18,14,53,Please write me a story in exactly 5 sentences: A painting changes slightly every time you look away.,101
A woman finds her own gravestone in an abandoned cemetery.,Deepseek,38,9,58,Please write me a story in exactly 5 sentences: A woman finds her own gravestone in an abandoned cemetery.,106
"A child builds a robot friend, but it starts learning things no one taught it.",Deepseek,25,7,78,"Please write me a story in exactly 5 sentences: A child builds a robot friend, but it starts learning things no one taught it.",126
A librarian finds a book that wasn't there the day before—and it has their name on the cover.,Deepseek,4,12,93,Please write me a story in exactly 5 sentences: A librarian finds a book that wasn't there the day before—and it has their name on the cover.,141
"Every night, you dream of a door. Tonight, it opens.",Deepseek,3,6,52,"Please write me a story in exactly 5 sentences: Every night, you dream of a door. Tonight, it opens.",100
A woman buys an antique mirror that shows her a different life every morning.,Deepseek,28,19,77,Please write me a story in exactly 5 sentences: A woman buys an antique mirror that shows her a different life every morning.,125
A person finds a coin that grants one wish—but only if it's selfless.,Deepseek,48,12,69,Please write me a story in exactly 5 sentences: A person finds a coin that grants one wish—but only if it's selfless.,117
Every clock in your house stops at the same time every night.,Deepseek,34,16,61,Please write me a story in exactly 5 sentences: Every clock in your house stops at the same time every night.,109
Your phone starts receiving voicemails from your own number.,Deepseek,37,16,60,Please write me a story in exactly 5 sentences: Your phone starts receiving voicemails from your own number.,108
A person's shadow starts moving on its own.,Deepseek,24,8,43,Please write me a story in exactly 5 sentences: A person's shadow starts moving on its own.,91
You discover your house has a room that wasn’t there yesterday.,Deepseek,21,16,63,Please write me a story in exactly 5 sentences: You discover your house has a room that wasn’t there yesterday.,111
A person inherits a house where every room is a different season.,Deepseek,44,12,65,Please write me a story in exactly 5 sentences: A person inherits a house where every room is a different season.,113
A photographer realizes their camera captures moments five seconds before they happen.,Deepseek,14,17,86,Please write me a story in exactly 5 sentences: A photographer realizes their camera captures moments five seconds before they happen.,134
A person's dreams start leaking into reality.,Deepseek,34,8,45,Please write me a story in exactly 5 sentences: A person's dreams start leaking into reality.,93
A woman finds her cat brings her objects from places it couldn’t possibly go.,Deepseek,36,19,77,Please write me a story in exactly 5 sentences: A woman finds her cat brings her objects from places it couldn’t possibly go.,125
A person wakes up in a parallel universe where one small detail is different.,Deepseek,35,1,77,Please write me a story in exactly 5 sentences: A person wakes up in a parallel universe where one small detail is different.,125
"A scientist discovers a way to communicate with plants, but they have a dark secret.",Deepseek,1,2,84,"Please write me a story in exactly 5 sentences: A scientist discovers a way to communicate with plants, but they have a dark secret.",132
A photographer notices the same stranger in the background of all their photos—even childhood ones.,Deepseek,11,16,99,Please write me a story in exactly 5 sentences: A photographer notices the same stranger in the background of all their photos—even childhood ones.,147
A photographer captures images of events before they happen.,Deepseek,9,4,60,Please write me a story in exactly 5 sentences: A photographer captures images of events before they happen.,108
A person inherits a vintage radio that broadcasts messages from the past.,Deepseek,18,13,73,Please write me a story in exactly 5 sentences: A person inherits a vintage radio that broadcasts messages from the past.,121
"A person inherits a house, only to discover it's sentient and doesn't like them.",Deepseek,15,1,80,"Please write me a story in exactly 5 sentences: A person inherits a house, only to discover it's sentient and doesn't like them.",128
A soldier returns home to find their family doesn’t recognize them—and insists they died in the war.,Deepseek,26,6,100,Please write me a story in exactly 5 sentences: A soldier returns home to find their family doesn’t recognize them—and insists they died in the war.,148
"A scientist discovers a way to communicate with animals, but the animals have a dark secret.",Deepseek,1,15,92,"Please write me a story in exactly 5 sentences: A scientist discovers a way to communicate with animals, but the animals have a dark secret.",140
"A town where no one can tell a lie—until one day, someone does.",Deepseek,44,1,63,"Please write me a story in exactly 5 sentences: A town where no one can tell a lie—until one day, someone does.",111
You inherit a house from a relative you’ve never heard of. The neighbors refuse to go near it.,Deepseek,20,19,94,Please write me a story in exactly 5 sentences: You inherit a house from a relative you’ve never heard of. The neighbors refuse to go near it.,142
"A couple moves into their dream home, only to find it's a perfect replica of their old one.",Deepseek,10,20,91,"Please write me a story in exactly 5 sentences: A couple moves into their dream home, only to find it's a perfect replica of their old one.",139
A person receives a letter from their future self warning them not to make a specific choice.,Deepseek,9,20,93,Please write me a story in exactly 5 sentences: A person receives a letter from their future self warning them not to make a specific choice.,141
A journalist investigates a school where every student has the same nightmare.,Deepseek,43,6,78,Please write me a story in exactly 5 sentences: A journalist investigates a school where every student has the same nightmare.,126
"A man receives a phone call from his deceased father, warning him of danger.",Deepseek,47,9,76,"Please write me a story in exactly 5 sentences: A man receives a phone call from his deceased father, warning him of danger.",124
A person finds a door in their basement that wasn't there yesterday.,Deepseek,13,14,68,Please write me a story in exactly 5 sentences: A person finds a door in their basement that wasn't there yesterday.,116
A child builds a sandcastle that never collapses—even in storms.,Deepseek,33,10,64,Please write me a story in exactly 5 sentences: A child builds a sandcastle that never collapses—even in storms.,112
"A soldier returns from war, but their shadow now moves independently.",Deepseek,10,11,69,"Please write me a story in exactly 5 sentences: A soldier returns from war, but their shadow now moves independently.",117
"A person’s tattoos change every morning, revealing cryptic messages.",Deepseek,47,20,68,"Please write me a story in exactly 5 sentences: A person’s tattoos change every morning, revealing cryptic messages.",116
A babysitter realizes the child they're watching isn't human.,Deepseek,27,9,61,Please write me a story in exactly 5 sentences: A babysitter realizes the child they're watching isn't human.,109
You discover a hidden room in your house filled with surveillance equipment—all focused on you.,Deepseek,49,6,95,Please write me a story in exactly 5 sentences: You discover a hidden room in your house filled with surveillance equipment—all focused on you.,143
A person receives a package containing an object they dreamed about the night before.,Deepseek,36,17,85,Please write me a story in exactly 5 sentences: A person receives a package containing an object they dreamed about the night before.,133
A chess piece moves on its own during a championship match.,Deepseek,15,14,59,Please write me a story in exactly 5 sentences: A chess piece moves on its own during a championship match.,107
A town where everyone has the same recurring dream.,Deepseek,19,8,51,Please write me a story in exactly 5 sentences: A town where everyone has the same recurring dream.,99
A train arrives at the station with no passengers—just one empty seat with your name on it.,Deepseek,40,16,91,Please write me a story in exactly 5 sentences: A train arrives at the station with no passengers—just one empty seat with your name on it.,139
"A town where it's always twilight, and no one ages.",Deepseek,17,2,51,"Please write me a story in exactly 5 sentences: A town where it's always twilight, and no one ages.",99
"A child receives a toy that grants wishes, but each wish comes with a bizarre twist.",Deepseek,5,7,84,"Please write me a story in exactly 5 sentences: A child receives a toy that grants wishes, but each wish comes with a bizarre twist.",132
You find a list of names in your handwriting. The last one is yours.,Deepseek,45,18,68,Please write me a story in exactly 5 sentences: You find a list of names in your handwriting. The last one is yours.,116
A person discovers their reflection is aging faster than they are.,Deepseek,26,8,66,Please write me a story in exactly 5 sentences: A person discovers their reflection is aging faster than they are.,114
A radio station broadcasts messages from the afterlife.,Deepseek,27,4,55,Please write me a story in exactly 5 sentences: A radio station broadcasts messages from the afterlife.,103
"A chef creates a dish so delicious it becomes addictive, with dangerous consequences.",Deepseek,15,20,85,"Please write me a story in exactly 5 sentences: A chef creates a dish so delicious it becomes addictive, with dangerous consequences.",133
A musician hears a song in their dreams and realizes it's a hit from the future.,Deepseek,27,17,80,Please write me a story in exactly 5 sentences: A musician hears a song in their dreams and realizes it's a hit from the future.,128
A man realizes he's the only person without a shadow.,Deepseek,13,2,53,Please write me a story in exactly 5 sentences: A man realizes he's the only person without a shadow.,101
A musician's new song causes anyone who hears it to forget the last 24 hours.,Deepseek,7,1,77,Please write me a story in exactly 5 sentences: A musician's new song causes anyone who hears it to forget the last 24 hours.,125
A person’s reflection starts giving them advice.,Deepseek,35,20,48,Please write me a story in exactly 5 sentences: A person’s reflection starts giving them advice.,96
A painter’s portraits alter the real-life appearances of their subjects.,Deepseek,45,19,72,Please write me a story in exactly 5 sentences: A painter’s portraits alter the real-life appearances of their subjects.,120
A pilot lands a plane only to find the world completely empty.,Deepseek,44,10,62,Please write me a story in exactly 5 sentences: A pilot lands a plane only to find the world completely empty.,110
A town where it has rained every day for the past 100 years—until today.,Deepseek,31,17,72,Please write me a story in exactly 5 sentences: A town where it has rained every day for the past 100 years—until today.,120
A camera takes pictures of people's past lives.,Deepseek,36,4,47,Please write me a story in exactly 5 sentences: A camera takes pictures of people's past lives.,95
A prisoner discovers their cell has no walls—but no one else notices.,Deepseek,47,10,69,Please write me a story in exactly 5 sentences: A prisoner discovers their cell has no walls—but no one else notices.,117
A dollhouse that mirrors a real house—and the events inside it.,Deepseek,38,12,63,Please write me a story in exactly 5 sentences: A dollhouse that mirrors a real house—and the events inside it.,111
A woman wakes up to find her reflection has vanished from all mirrors.,Deepseek,26,11,70,Please write me a story in exactly 5 sentences: A woman wakes up to find her reflection has vanished from all mirrors.,118
A painting changes slightly every time you look away.,Deepseek,29,8,53,Please write me a story in exactly 5 sentences: A painting changes slightly every time you look away.,101
A person finds a staircase in the woods that leads to nowhere.,Deepseek,33,20,62,Please write me a story in exactly 5 sentences: A person finds a staircase in the woods that leads to nowhere.,110
A camera that takes photos of events exactly 24 hours before they happen.,Deepseek,14,12,73,Please write me a story in exactly 5 sentences: A camera that takes photos of events exactly 24 hours before they happen.,121
"A diary is found, but every entry is written in an unknown language.",Deepseek,25,14,68,"Please write me a story in exactly 5 sentences: A diary is found, but every entry is written in an unknown language.",116
A person finds a door in their basement that wasn’t there yesterday.,Deepseek,15,13,68,Please write me a story in exactly 5 sentences: A person finds a door in their basement that wasn’t there yesterday.,116
"A detective is hired to solve a murder, but the victim is still alive and insists they were killed.",Deepseek,4,8,99,"Please write me a story in exactly 5 sentences: A detective is hired to solve a murder, but the victim is still alive and insists they were killed.",147
"A librarian finds a book that wasn't there yesterday—every page is blank except the last one, which has their name.",Deepseek,3,5,115,"Please write me a story in exactly 5 sentences: A librarian finds a book that wasn't there yesterday—every page is blank except the last one, which has their name.",163
You wake up with the ability to see people's deepest fears—including your own.,Deepseek,5,18,78,Please write me a story in exactly 5 sentences: You wake up with the ability to see people's deepest fears—including your own.,126
You receive a text from an unknown number: 'Leave your house now. They’re coming.',Deepseek,23,10,82,Please write me a story in exactly 5 sentences: You receive a text from an unknown number: 'Leave your house now. They’re coming.',130
A person realizes they are the only one who can see the moon is gone.,Deepseek,21,4,69,Please write me a story in exactly 5 sentences: A person realizes they are the only one who can see the moon is gone.,117
